h2_co_molar_ratio,space_time_multiple_of_experiment1,catalyst_space_time_kg_s_mol_co,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,inlet_pressure_bar_abs,outlet_co_conversion_pct,outlet_ch4_yield_pct,peak_temperature_c,outlet_pressure_bar_abs,pressure_drop_pa,status,terminal_event,solver_function_evaluations,message
2.0,2.0000000000000004,70.2,0.15999999999999998,0.31999999999999995,0.39949999999999997,0.8795,2.0,91.66681132613644,60.403808974924765,350.0,1.9999999937903976,0.0006209602288436145,completed,,222,The solver successfully reached the end of the integration interval.
2.2,2.0000000000000004,70.2,0.15999999999999998,0.352,0.39949999999999997,0.9115,2.0,94.85537483347827,64.24786999492125,350.0,1.999999993599348,0.0006400652055162936,completed,,219,The solver successfully reached the end of the integration interval.
2.4000000000000004,2.0000000000000004,70.2,0.15999999999999998,0.384,0.39949999999999997,0.9435,2.0,96.77215961376483,67.58363816139108,350.0,1.9999999933951136,0.0006604886439163238,completed,,229,The solver successfully reached the end of the integration interval.
2.6,2.0000000000000004,70.2,0.15999999999999998,0.4159999999999999,0.39949999999999997,0.9754999999999998,2.0,97.81402651366629,70.52926832474809,350.0,1.9999999931791594,0.0006820840644650161,completed,,219,The solver successfully reached the end of the integration interval.
2.8,2.0000000000000004,70.2,0.15999999999999998,0.4479999999999999,0.39949999999999997,1.0074999999999998,2.0,98.35044006883751,73.19171917028866,350.0,1.9999999929531818,0.0007046818209346384,completed,,218,The solver successfully reached the end of the integration interval.
2.9968749999999997,2.0000000000000004,70.2,0.15999999999999998,0.47949999999999987,0.39949999999999997,1.0389999999999997,2.0,98.63103375038867,75.60138530307286,350.0,1.9999999927224021,0.0007277597906067967,completed,,217,The solver successfully reached the end of the integration interval.
3.0,2.0000000000000004,70.2,0.15999999999999998,0.4799999999999999,0.39949999999999997,1.0394999999999999,2.0,98.63434440919602,75.63813770407026,350.0,1.9999999927186782,0.0007281321741174906,completed,,217,The solver successfully reached the end of the integration interval.
3.2,2.0000000000000004,70.2,0.15999999999999998,0.5119999999999999,0.39949999999999997,1.0715,2.0,98.80308606292081,77.89868888656237,350.0,1.9999999924767788,0.0007523221138399094,completed,,197,The solver successfully reached the end of the integration interval.
3.4000000000000004,2.0000000000000004,70.2,0.15999999999999998,0.5439999999999999,0.39949999999999997,1.1035,2.0,98.92022936172317,79.98273736611485,350.0,1.9999999922282903,0.0007771709642838687,completed,,193,The solver successfully reached the end of the integration interval.
3.6,2.0000000000000004,70.2,0.15999999999999998,0.576,0.39949999999999997,1.1355,2.0,99.01234206466137,81.89183560710326,350.0,1.9999999919737899,0.0008026210125535727,completed,,185,The solver successfully reached the end of the integration interval.
3.8000000000000003,2.0000000000000004,70.2,0.15999999999999998,0.608,0.39949999999999997,1.1675,2.0,99.09010418358612,83.62703275355156,350.0,1.9999999917137343,0.0008286265656352043,completed,,184,The solver successfully reached the end of the integration interval.
4.0,2.0000000000000004,70.2,0.15999999999999998,0.6399999999999999,0.39949999999999997,1.1994999999999998,2.0,99.15821763662754,85.19227087620969,350.0,1.9999999914485225,0.0008551477512810379,completed,,183,The solver successfully reached the end of the integration interval.
4.2,2.0000000000000004,70.2,0.15999999999999998,0.6719999999999999,0.39949999999999997,1.2314999999999998,2.0,99.21869087690847,86.59426562067698,350.0,1.9999999911785242,0.000882147578522563,completed,,187,The solver successfully reached the end of the integration interval.
4.4,2.0000000000000004,70.2,0.15999999999999998,0.704,0.39949999999999997,1.2634999999999998,2.0,99.27273573225186,87.84268628505947,350.0,1.99999999090409,0.0009095910063479096,completed,,193,The solver successfully reached the end of the integration interval.
4.6,2.0000000000000004,70.2,0.15999999999999998,0.7359999999999999,0.39949999999999997,1.2954999999999999,2.0,99.32116563170132,88.94911766808067,350.0,1.9999999906255534,0.0009374446526635438,completed,,193,The solver successfully reached the end of the integration interval.
4.800000000000001,2.0000000000000004,70.2,0.15999999999999998,0.768,0.39949999999999997,1.3275,2.0,99.36446856892528,89.92629765916033,350.0,1.9999999903432353,0.0009656764741521329,completed,,203,The solver successfully reached the end of the integration interval.
5.0,2.0000000000000004,70.2,0.15999999999999998,0.7999999999999998,0.39949999999999997,1.3594999999999997,2.0,99.40337663346568,90.78748404688382,350.0,1.9999999900574374,0.0009942562610376626,completed,,202,The solver successfully reached the end of the integration interval.
