inlet_temperature_c,inlet_pressure_bar_abs,outlet_co_conversion_pct,outlet_methane_yield_pct,peak_temperature_c,outlet_pressure_bar_abs,status,terminal_event,solver_function_evaluations,message
392.5,5.0,92.68284525986799,82.61935589196796,576.832308296872,4.937896778788669,completed,,556,The solver successfully reached the end of the integration interval.
400.0,5.0,92.0088911238877,81.72552560767612,581.9379073990033,4.937468658578271,completed,,530,The solver successfully reached the end of the integration interval.
250.0,5.199999999999999,98.69590485263421,92.09537853034192,459.67440180167296,5.1519610566195615,completed,,545,The solver successfully reached the end of the integration interval.
257.5,5.199999999999999,98.81868357091706,93.1524409763138,466.95189326125876,5.150802228751968,completed,,559,The solver successfully reached the end of the integration interval.
265.0,5.199999999999999,98.84169109752096,93.65551995491458,474.2953914675204,5.1497722919987945,completed,,589,The solver successfully reached the end of the integration interval.
272.5,5.199999999999999,98.78183014005202,93.70508334402635,481.5935407573028,5.1488546805144715,completed,,603,The solver successfully reached the end of the integration interval.
280.0,5.199999999999999,98.65864423734047,93.44073056112371,488.76680371654356,5.148033691553514,completed,,607,The solver successfully reached the end of the integration interval.
287.5,5.199999999999999,98.49143930081135,93.00490829663661,495.7670556007088,5.147293271943956,completed,,633,The solver successfully reached the end of the integration interval.
295.0,5.199999999999999,98.29254734573165,92.48869935102681,502.57261707425164,5.1466178261644,completed,,616,The solver successfully reached the end of the integration interval.
302.5,5.199999999999999,98.06598663872444,91.92711891617228,509.18091687936976,5.145993897173059,completed,,631,The solver successfully reached the end of the integration interval.
310.0,5.199999999999999,97.81156387076128,91.32917496941661,515.6005731280428,5.145410859346342,completed,,621,The solver successfully reached the end of the integration interval.
317.5,5.199999999999999,97.52810317867151,90.69797517637993,521.8453658569649,5.144860569482062,completed,,597,The solver successfully reached the end of the integration interval.
325.0,5.199999999999999,97.21437262707778,90.03584362028795,527.9308351599432,5.144336773552765,completed,,590,The solver successfully reached the end of the integration interval.
332.5,5.199999999999999,96.86920910053227,89.34487284770174,533.8731668683839,5.143834626379384,completed,,569,The solver successfully reached the end of the integration interval.
340.0,5.199999999999999,96.49153994393636,88.6269454716734,539.6873873684303,5.143350341962934,completed,,574,The solver successfully reached the end of the integration interval.
347.5,5.199999999999999,96.08039221516161,87.88374091356525,545.3848578134755,5.14288093790869,completed,,557,The solver successfully reached the end of the integration interval.
350.0,5.199999999999999,95.93575121793893,87.63065159374295,547.2593334877756,5.142727352559744,completed,,544,The solver successfully reached the end of the integration interval.
355.0,5.199999999999999,95.6349063332548,87.11674986904185,550.9768377851133,5.142424046038463,completed,,547,The solver successfully reached the end of the integration interval.
362.5,5.199999999999999,95.15434526724195,86.3272944375409,556.4743700311211,5.141977770768311,completed,,569,The solver successfully reached the end of the integration interval.
370.0,5.199999999999999,94.63810313594252,85.51655021517189,561.8812639177551,5.141540582122736,completed,,561,The solver successfully reached the end of the integration interval.
377.5,5.199999999999999,94.08571154172016,84.68556927781535,567.2121176337216,5.141111234714504,completed,,554,The solver successfully reached the end of the integration interval.
385.0,5.199999999999999,93.49684457398023,83.83530101756187,572.4659896591656,5.140688705641933,completed,,547,The solver successfully reached the end of the integration interval.
392.5,5.199999999999999,92.87132199098154,82.96661223176417,577.6553336186572,5.140272146925022,completed,,553,The solver successfully reached the end of the integration interval.
400.0,5.199999999999999,92.20910763247551,82.08030125769814,582.7778139477202,5.139860870855545,completed,,542,The solver successfully reached the end of the integration interval.
250.0,5.8999999999999995,99.05300676889384,94.04796723256757,462.54934036366126,5.857246613172138,completed,,593,The solver successfully reached the end of the integration interval.
