panel,x_species,x_feed_mol_h,y_species,y_feed_mol_h,fixed_species,fixed_feed_mol_h,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,co_conversion_pct,status,solver_message
H2_vs_CO_at_fixed_N2,CO,0.32,H2,0.399,N2,0.799,0.32,0.399,0.799,1.518,40.933000038476315,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3288888888888889,H2,0.399,N2,0.799,0.3288888888888889,0.399,0.799,1.526888888888889,40.01488736589998,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3377777777777778,H2,0.399,N2,0.799,0.3377777777777778,0.399,0.799,1.535777777777778,39.132992642991454,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3466666666666667,H2,0.399,N2,0.799,0.3466666666666667,0.399,0.799,1.5446666666666666,38.28532194266078,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.35555555555555557,H2,0.399,N2,0.799,0.35555555555555557,0.399,0.799,1.5535555555555556,37.470015697315645,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.36444444444444446,H2,0.399,N2,0.799,0.36444444444444446,0.399,0.799,1.5624444444444445,36.68533820093733,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.37333333333333335,H2,0.399,N2,0.799,0.37333333333333335,0.399,0.799,1.5713333333333335,35.92966713727611,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.38222222222222224,H2,0.399,N2,0.799,0.38222222222222224,0.399,0.799,1.5802222222222224,35.2015006525699,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.39111111111111113,H2,0.399,N2,0.799,0.39111111111111113,0.399,0.799,1.5891111111111111,34.49942523900014,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.4,H2,0.399,N2,0.799,0.4,0.399,0.799,1.598,33.82210586392252,completed,The solver successfully reached the end of the integration interval.
