h2_co_molar_ratio,space_time_multiple_of_experiment1,catalyst_space_time_kg_s_mol_co,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,inlet_pressure_bar_abs,outlet_co_conversion_pct,outlet_ch4_yield_pct,peak_temperature_c,outlet_pressure_bar_abs,pressure_drop_pa,status,terminal_event,solver_function_evaluations,message
1.2,0.5743491774985175,20.159656130197963,0.5571523605095194,0.6685828326114233,1.3911398001472064,2.6168749932681488,1.0,34.38178898306161,25.36596216627461,350.0,0.9999999133005345,0.008669946546433493,completed,,185,The solver successfully reached the end of the integration interval.
1.4,0.5743491774985175,20.159656130197963,0.5571523605095194,0.7800133047133272,1.3911398001472064,2.7283054653700534,1.0,39.74778150671581,29.418509940755445,350.0,0.9999999101780054,0.008982199462479912,completed,,186,The solver successfully reached the end of the integration interval.
1.6,0.5743491774985175,20.159656130197963,0.5571523605095194,0.8914437768152311,1.3911398001472064,2.839735937471957,1.0,44.711243223618546,33.25432065691722,350.0,0.9999999069447888,0.009305521118221804,completed,,188,The solver successfully reached the end of the integration interval.
1.8,0.5743491774985175,20.159656130197963,0.5571523605095194,1.002874248917135,1.3911398001472064,2.951166409573861,1.0,49.245455868853035,36.85420790523599,350.0,0.9999999035982314,0.009640176853281446,completed,,180,The solver successfully reached the end of the integration interval.
2.0,0.5743491774985175,20.159656130197963,0.5571523605095194,1.1143047210190389,1.3911398001472064,3.0625968816757645,1.0,53.33879244663451,40.20577099335581,350.0,0.9999999001380487,0.009986195131205022,completed,,150,The solver successfully reached the end of the integration interval.
2.2,0.5743491774985175,20.159656130197963,0.5571523605095194,1.2257351931209428,1.3911398001472064,3.1740273537776686,1.0,56.99265656720418,43.30274276843778,350.0,0.9999998965658361,0.010343416390242055,completed,,146,The solver successfully reached the end of the integration interval.
2.4000000000000004,0.5743491774985175,20.159656130197963,0.5571523605095194,1.3371656652228467,1.3911398001472064,3.285457825879573,1.0,60.21897926688792,46.14413475179497,350.0,0.9999998928846371,0.010711536291637458,completed,,140,The solver successfully reached the end of the integration interval.
2.6,0.5743491774985175,20.159656130197963,0.5571523605095194,1.4485961373247507,1.3911398001472064,3.3968882979814765,1.0,63.03810859980072,48.7336895853458,350.0,0.9999998890986086,0.011090139145380817,completed,,153,The solver successfully reached the end of the integration interval.
2.8,0.5743491774985175,20.159656130197963,0.5571523605095194,1.5600266094266544,1.3911398001472064,3.5083187700833802,1.0,65.47663742493626,51.078997549640334,350.0,0.9999998852126558,0.0114787344209617,completed,,149,The solver successfully reached the end of the integration interval.
2.9968749999999997,0.5743491774985175,20.159656130197963,0.5571523605095194,1.669715980401966,1.3911398001472064,3.6180081410586915,1.0,67.53501814907412,53.15951852708499,350.0,0.9999998812950929,0.011870490707224235,completed,,147,The solver successfully reached the end of the integration interval.
