panel,x_species,x_feed_mol_h,y_species,y_feed_mol_h,fixed_species,fixed_feed_mol_h,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,co_conversion_pct,status,solver_message
H2_vs_CO_at_fixed_N2,CO,0.24,H2,0.4222222222222222,N2,0.799,0.24,0.4222222222222222,0.799,1.4612222222222222,76.72569548641303,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24888888888888888,H2,0.4222222222222222,N2,0.799,0.24888888888888888,0.4222222222222222,0.799,1.4701111111111111,74.99697484113935,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.2577777777777778,H2,0.4222222222222222,N2,0.799,0.2577777777777778,0.4222222222222222,0.799,1.479,73.30867498513331,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.26666666666666666,H2,0.4222222222222222,N2,0.799,0.26666666666666666,0.4222222222222222,0.799,1.487888888888889,71.66407142785441,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.27555555555555555,H2,0.4222222222222222,N2,0.799,0.27555555555555555,0.4222222222222222,0.799,1.4967777777777778,70.06519161954074,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.28444444444444444,H2,0.4222222222222222,N2,0.799,0.28444444444444444,0.4222222222222222,0.799,1.5056666666666667,68.51319517741416,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.29333333333333333,H2,0.4222222222222222,N2,0.799,0.29333333333333333,0.4222222222222222,0.799,1.5145555555555557,67.00853128451814,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3022222222222222,H2,0.4222222222222222,N2,0.799,0.3022222222222222,0.4222222222222222,0.799,1.5234444444444444,65.55106449235949,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3111111111111111,H2,0.4222222222222222,N2,0.799,0.3111111111111111,0.4222222222222222,0.799,1.5323333333333333,64.14026349043357,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.32,H2,0.4222222222222222,N2,0.799,0.32,0.4222222222222222,0.799,1.5412222222222223,62.77529173912869,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3288888888888889,H2,0.4222222222222222,N2,0.799,0.3288888888888889,0.4222222222222222,0.799,1.5501111111111112,61.455094341185635,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3377777777777778,H2,0.4222222222222222,N2,0.799,0.3377777777777778,0.4222222222222222,0.799,1.5590000000000002,60.1784609192545,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3466666666666667,H2,0.4222222222222222,N2,0.799,0.3466666666666667,0.4222222222222222,0.799,1.5678888888888889,58.94404930814444,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.35555555555555557,H2,0.4222222222222222,N2,0.799,0.35555555555555557,0.4222222222222222,0.799,1.5767777777777778,57.750485804218265,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.36444444444444446,H2,0.4222222222222222,N2,0.799,0.36444444444444446,0.4222222222222222,0.799,1.5856666666666668,56.596343908903165,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.37333333333333335,H2,0.4222222222222222,N2,0.799,0.37333333333333335,0.4222222222222222,0.799,1.5945555555555555,55.48018962096478,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.38222222222222224,H2,0.4222222222222222,N2,0.799,0.38222222222222224,0.4222222222222222,0.799,1.6034444444444444,54.4004701180182,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.39111111111111113,H2,0.4222222222222222,N2,0.799,0.39111111111111113,0.4222222222222222,0.799,1.6123333333333334,53.356027748246305,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.4,H2,0.4222222222222222,N2,0.799,0.4,0.4222222222222222,0.799,1.6212222222222223,52.34535373519811,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24,H2,0.4777777777777778,N2,0.799,0.24,0.4777777777777778,0.799,1.5167777777777778,83.34610088991475,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.24888888888888888,H2,0.4777777777777778,N2,0.799,0.24888888888888888,0.4777777777777778,0.799,1.5256666666666667,81.75055495921619,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.2577777777777778,H2,0.4777777777777778,N2,0.799,0.2577777777777778,0.4777777777777778,0.799,1.5345555555555557,80.16233130742678,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.26666666666666666,H2,0.4777777777777778,N2,0.799,0.26666666666666666,0.4777777777777778,0.799,1.5434444444444444,78.5892300005217,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.27555555555555555,H2,0.4777777777777778,N2,0.799,0.27555555555555555,0.4777777777777778,0.799,1.5523333333333333,77.0374456251015,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.28444444444444444,H2,0.4777777777777778,N2,0.799,0.28444444444444444,0.4777777777777778,0.799,1.5612222222222223,75.51158851562066,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.29333333333333333,H2,0.4777777777777778,N2,0.799,0.29333333333333333,0.4777777777777778,0.799,1.5701111111111112,74.01511487737427,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3022222222222222,H2,0.4777777777777778,N2,0.799,0.3022222222222222,0.4777777777777778,0.799,1.5790000000000002,72.55101331975918,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3111111111111111,H2,0.4777777777777778,N2,0.799,0.3111111111111111,0.4777777777777778,0.799,1.587888888888889,71.12092773875918,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.32,H2,0.4777777777777778,N2,0.799,0.32,0.4777777777777778,0.799,1.5967777777777779,69.72606084196379,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3288888888888889,H2,0.4777777777777778,N2,0.799,0.3288888888888889,0.4777777777777778,0.799,1.6056666666666668,68.36714374556445,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3377777777777778,H2,0.4777777777777778,N2,0.799,0.3377777777777778,0.4777777777777778,0.799,1.6145555555555555,67.0443099671026,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.3466666666666667,H2,0.4777777777777778,N2,0.799,0.3466666666666667,0.4777777777777778,0.799,1.6234444444444445,65.75768188778524,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.35555555555555557,H2,0.4777777777777778,N2,0.799,0.35555555555555557,0.4777777777777778,0.799,1.6323333333333334,64.50690681139976,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.36444444444444446,H2,0.4777777777777778,N2,0.799,0.36444444444444446,0.4777777777777778,0.799,1.6412222222222224,63.29149674589317,completed,The solver successfully reached the end of the integration interval.
H2_vs_CO_at_fixed_N2,CO,0.37333333333333335,H2,0.4777777777777778,N2,0.799,0.37333333333333335,0.4777777777777778,0.799,1.6501111111111113,62.11081361267345,completed,The solver successfully reached the end of the integration interval.
