case_id,h2_co_molar_ratio,inlet_temperature_c,inlet_pressure_bar_abs,catalyst_space_time_kg_s_mol_co,space_time_multiple_of_experiment1,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,total_feed_mol_h,outlet_co_conversion_pct,outlet_ch4_yield_pct,outlet_pressure_bar_abs,pressure_drop_pa,status,terminal_event,solver_function_evaluations,message
2544,1.4,340.0,5.0,13.300412871128742,0.37892914162759955,0.8444850628946523,1.1822790880525131,2.1085736414150853,4.13533779236225,77.47195941583283,47.48190652390925,4.999999965991799,0.0034008200746029615,completed,,236,The solver successfully reached the end of the integration interval.
2545,1.4,340.0,5.0,15.278162385846976,0.43527528164806206,0.7351669471981024,1.0292337260773432,1.835619971285262,3.6000206445607077,78.94219391945879,48.08979448739548,4.999999973601888,0.0026398111949674785,completed,,247,The solver successfully reached the end of the integration interval.
2546,1.4,340.0,5.0,17.549999999999997,0.5,0.64,0.8959999999999999,1.598,3.1340000000000003,80.32947590706634,48.6604110874779,4.999999979435603,0.0020564396982081234,completed,,256,The solver successfully reached the end of the integration interval.
2547,1.4,340.0,5.0,20.159656130197963,0.5743491774985175,0.5571523605095194,0.7800133047133272,1.3911398001472064,2.7283054653700534,81.64020329093522,49.19729748476142,4.999999983918823,0.0016081177163869143,completed,,266,The solver successfully reached the end of the integration interval.
2548,1.4,340.0,5.0,23.157363834064295,0.6597539553864472,0.48502930128332733,0.6790410217966583,1.211057536641808,2.3751278597217933,82.87989234763725,49.70348074503511,4.9999999873735765,0.0012626423849724233,completed,,278,The solver successfully reached the end of the integration interval.
2549,1.4,340.0,5.0,26.600825742257484,0.7578582832551991,0.42224253144732615,0.5911395440262566,1.0542868207075426,2.067668896181125,84.05325164424342,50.181534764787905,4.99999999004368,0.0009956320282071829,completed,,291,The solver successfully reached the end of the integration interval.
2550,1.4,340.0,5.0,30.55632477169395,0.8705505632961241,0.3675834735990512,0.5146168630386716,0.917809985642631,1.8000103222803538,85.16433104989054,50.633669993873966,4.999999992113952,0.0007886048406362534,completed,,305,The solver successfully reached the end of the integration interval.
2551,1.4,340.0,5.0,35.099999999999994,1.0,0.32,0.44799999999999995,0.799,1.5670000000000002,86.21660221728969,51.06178646834346,4.999999993724656,0.0006275343475863338,completed,,317,The solver successfully reached the end of the integration interval.
2552,1.4,340.0,5.0,40.31931226039592,1.1486983549970349,0.2785761802547598,0.39000665235666365,0.6955699000736033,1.3641527326850267,87.21302254372051,51.46751394451828,4.999999994982428,0.0005017572548240423,completed,,324,The solver successfully reached the end of the integration interval.
2553,1.4,340.0,5.0,46.3147276681286,1.3195079107728946,0.24251465064166364,0.3395205108983291,0.605528768320904,1.1875639298608966,88.15617465711043,51.85228492739559,4.999999995968446,0.00040315533988177776,completed,,330,The solver successfully reached the end of the integration interval.
2554,1.4,340.0,5.0,53.201651484514976,1.5157165665103984,0.21112126572366305,0.29556977201312823,0.5271434103537712,1.0338344480905626,89.0482411546767,52.21732988128215,4.999999996744625,0.00032553746132180095,completed,,342,The solver successfully reached the end of the integration interval.
2555,1.4,340.0,5.0,61.11264954338791,1.7411011265922485,0.1837917367995256,0.2573084315193358,0.4589049928213155,0.9000051611401769,89.89115334492601,52.56374723175084,4.999999997358293,0.0002641706960275769,completed,,400,The solver successfully reached the end of the integration interval.
2556,1.4,340.0,5.0,70.2,2.0000000000000004,0.15999999999999998,0.22399999999999995,0.39949999999999997,0.7834999999999999,90.68653595157946,52.89248376399519,4.999999997845666,0.00021543336333706975,completed,,404,The solver successfully reached the end of the integration interval.
2557,1.4,340.0,5.0,80.63862452079185,2.29739670999407,0.13928809012737986,0.1950033261783318,0.3477849500368016,0.6820763663425133,91.43586547630125,53.20440565396834,4.999999998234559,0.0001765440683811903,completed,,412,The solver successfully reached the end of the integration interval.
2558,1.4,340.0,5.0,92.6294553362572,2.6390158215457893,0.12125732532083182,0.16976025544916454,0.302764384160452,0.5937819649304483,92.1404195092973,53.50027825499788,4.999999998546366,0.00014536333037540317,completed,,394,The solver successfully reached the end of the integration interval.
2559,1.4,340.0,5.0,106.40330296902994,3.0314331330207964,0.10556063286183154,0.14778488600656414,0.26357170517688566,0.5169172240452813,92.80137585020411,53.78080746674713,4.999999998797591,0.00012024090392515063,completed,,406,The solver successfully reached the end of the integration interval.
2560,1.4,340.0,5.0,122.22529908677583,3.4822022531844974,0.09189586839976278,0.1286542157596679,0.2294524964106577,0.45000258057008835,93.41980531130383,54.04663865281177,4.999999999001007,9.989924728870392e-05,completed,,420,The solver successfully reached the end of the integration interval.
2561,1.4,340.0,5.0,140.39999999999998,4.0,0.08,0.11199999999999999,0.19975,0.39175000000000004,93.9967493691304,54.29838472408627,4.999999999166512,8.334883023053408e-05,completed,,430,The solver successfully reached the end of the integration interval.
2562,1.4,340.0,7.0,8.774999999999999,0.25,1.28,1.7919999999999998,3.196,6.268000000000001,81.01894952146887,48.943079592106656,6.999999947998048,0.005200195242650807,completed,,232,The solver successfully reached the end of the integration interval.
2563,1.4,340.0,7.0,10.07982806509898,0.2871745887492587,1.114304721019039,1.5600266094266546,2.7822796002944132,5.456610930740107,82.56669103869328,49.57573037694633,6.999999960006608,0.003999339183792472,completed,,240,The solver successfully reached the end of the integration interval.
2564,1.4,340.0,7.0,11.578681917032144,0.32987697769322355,0.9700586025666549,1.3580820435933167,2.4221150732836167,4.750255719443588,83.99381364562302,50.15734698089318,6.999999969152395,0.0030847605085000396,completed,,249,The solver successfully reached the end of the integration interval.
2565,1.4,340.0,7.0,13.300412871128742,0.37892914162759955,0.8444850628946523,1.1822790880525131,2.1085736414150853,4.13533779236225,85.31264511240879,50.694018746511894,6.999999976131774,0.002386822598055005,completed,,256,The solver successfully reached the end of the integration interval.
2566,1.4,340.0,7.0,15.278162385846976,0.43527528164806206,0.7351669471981024,1.0292337260773432,1.835619971285262,3.6000206445607077,86.53354713347028,51.19079855714763,6.999999981469488,0.0018530512461438775,completed,,267,The solver successfully reached the end of the integration interval.
2567,1.4,340.0,7.0,17.549999999999997,0.5,0.64,0.8959999999999999,1.598,3.1340000000000003,87.66523524434871,51.65189759686053,6.999999985561317,0.0014438682701438665,completed,,275,The solver successfully reached the end of the integration interval.
2568,1.4,340.0,7.0,20.159656130197963,0.5743491774985175,0.5571523605095194,0.7800133047133272,1.3911398001472064,2.7283054653700534,88.71506369922105,52.08084865185051,6.999999988706129,0.0011293870629742742,completed,,282,The solver successfully reached the end of the integration interval.
2569,1.4,340.0,7.0,23.157363834064295,0.6597539553864472,0.48502930128332733,0.6790410217966583,1.211057536641808,2.3751278597217933,89.68925319637779,52.48063064253009,6.999999991129816,0.0008870183955878019,completed,,294,The solver successfully reached the end of the integration interval.
2570,1.4,340.0,7.0,26.600825742257484,0.7578582832551991,0.42224253144732615,0.5911395440262566,1.0542868207075426,2.067668896181125,90.59311395621673,52.853782479282785,6.999999993003338,0.0006996662123128772,completed,,303,The solver successfully reached the end of the integration interval.
2571,1.4,340.0,7.0,30.55632477169395,0.8705505632961241,0.3675834735990512,0.5146168630386716,0.917809985642631,1.8000103222803538,91.43117987650055,53.202472934337685,6.999999994456274,0.0005543726729229093,completed,,318,The solver successfully reached the end of the integration interval.
2572,1.4,340.0,7.0,35.099999999999994,1.0,0.32,0.44799999999999995,0.799,1.5670000000000002,92.20738377120173,53.52858517674329,6.99999999558696,0.00044130394235253334,completed,,329,The solver successfully reached the end of the integration interval.
2573,1.4,340.0,7.0,40.31931226039592,1.1486983549970349,0.2785761802547598,0.39000665235666365,0.6955699000736033,1.3641527326850267,92.92514735310333,53.83375561142343,6.9999999964701125,0.0003529887180775404,completed,,343,The solver successfully reached the end of the integration interval.
2574,1.4,340.0,7.0,46.3147276681286,1.3195079107728946,0.24251465064166364,0.3395205108983291,0.605528768320904,1.1875639298608966,93.58751031853689,54.11943644442051,6.999999997162651,0.00028373487293720245,completed,,357,The solver successfully reached the end of the integration interval.
2575,1.4,340.0,7.0,53.201651484514976,1.5157165665103984,0.21112126572366305,0.29556977201312823,0.5271434103537712,1.0338344480905626,94.19721672069936,54.38692604971999,6.9999999977079685,0.00022920314222574234,completed,,372,The solver successfully reached the end of the integration interval.
2576,1.4,340.0,7.0,61.11264954338791,1.7411011265922485,0.1837917367995256,0.2573084315193358,0.4589049928213155,0.9000051611401769,94.75678711234761,54.6374019301829,6.999999998139257,0.0001860742922872305,completed,,386,The solver successfully reached the end of the integration interval.
