h2_co_molar_ratio,inlet_temperature_c,inlet_pressure_bar_abs,catalyst_space_time_kg_s_mol_co,co_feed_mol_h,h2_feed_mol_h,n2_feed_mol_h,outlet_co_conversion_pct,outlet_ch4_yield_pct,outlet_pressure_bar_abs,pressure_drop_pa,status,terminal_event,solver_function_evaluations,message
2.9968749999999997,385.0,1.0,35.099999999999994,0.32,0.959,0.799,90.62108370376083,67.90855446047583,0.9999999536215408,0.004637845922843553,completed,,287,The solver successfully reached the end of the integration interval.
3.0,385.0,1.0,35.099999999999994,0.32,0.96,0.799,90.64857887859297,67.94873582225013,0.99999995359823,0.004640176994143985,completed,,287,The solver successfully reached the end of the integration interval.
3.4000000000000004,385.0,1.0,35.099999999999994,0.32,1.088,0.799,93.40887545339245,72.59938916172447,0.9999999505269983,0.004947300170897506,completed,,277,The solver successfully reached the end of the integration interval.
3.8000000000000003,385.0,1.0,35.099999999999994,0.32,1.2160000000000002,0.799,95.06501417082272,76.39883308678958,0.9999999472983941,0.005270160589134321,completed,,269,The solver successfully reached the end of the integration interval.
4.2,385.0,1.0,35.099999999999994,0.32,1.344,0.799,96.06923420191448,79.50763182434044,0.9999999439347119,0.005606528808129951,completed,,264,The solver successfully reached the end of the integration interval.
4.6,385.0,1.0,35.099999999999994,0.32,1.472,0.799,96.69710734621879,82.05082413844276,0.9999999404548808,0.0059545119147514924,completed,,237,The solver successfully reached the end of the integration interval.
5.0,385.0,1.0,35.099999999999994,0.32,1.6,0.799,97.10353721241461,84.1280510106483,0.9999999368744841,0.006312551588052884,completed,,226,The solver successfully reached the end of the integration interval.
1.0,400.0,1.0,35.099999999999994,0.32,0.32,0.799,44.098107221953306,28.313474018813363,0.9999999654450427,0.0034554957383079454,completed,,355,The solver successfully reached the end of the integration interval.
1.4,400.0,1.0,35.099999999999994,0.32,0.44799999999999995,0.799,60.484503642018176,39.355252070259475,0.9999999634298173,0.003657018271042034,completed,,339,The solver successfully reached the end of the integration interval.
1.8,400.0,1.0,35.099999999999994,0.32,0.5760000000000001,0.799,73.71382996160098,49.215043193851905,0.999999961209253,0.003879074691212736,completed,,331,The solver successfully reached the end of the integration interval.
2.2,400.0,1.0,35.099999999999994,0.32,0.7040000000000001,0.799,83.3423286423831,57.67402063071734,0.9999999587573235,0.004124267652514391,completed,,339,The solver successfully reached the end of the integration interval.
2.6,400.0,1.0,35.099999999999994,0.32,0.8320000000000001,0.799,89.61490330382617,64.72857385562727,0.9999999560727598,0.004392724018543959,completed,,327,The solver successfully reached the end of the integration interval.
